Tilda UID;Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;Price Old;Editions;Modifications;External ID;Parent UID;Characteristics:Модель;Characteristics:Операционная система;Characteristics:Материал корпуса;Characteristics:Количество SIM-карт;Characteristics:Тип экрана;Characteristics:Диагональ;Characteristics:Размер изображения;Characteristics:Число пикселей на дюйм (PPI);Characteristics:Соотношение сторон;Characteristics:Тыловая камера;Characteristics:Тип корпуса;Characteristics:Тип дисплея;Characteristics:Яркость;Characteristics:Звук;Characteristics:Макс. время работы;Characteristics:Класс водонепроницаемости;Characteristics:Материал ремешка;Characteristics:Вид;Characteristics:Тип;Characteristics:Количество микрофонов;Characteristics:Вес наушника;Characteristics:Голосовой набор;Characteristics:Ответить/закончить разговор;Characteristics:Время работы;Characteristics:Материал;Characteristics:Активное шумоподавление;Characteristics:Особенности;Characteristics:Комплект поставки;Characteristics:Спецификации;Characteristics:Системные требования;Characteristics:Процессор;Characteristics:Экран;Characteristics:Разрешение;Characteristics:Число пикселей на дюйм;Characteristics:Bluetooth;Characteristics:Встроенные динамики;Characteristics:Технология дисплея;Characteristics:Full HD;Characteristics:Частота;Characteristics:Количество ядер;Characteristics:Объем видеопамяти;Characteristics:Количество Thunderbolt 3 (USB-C);Characteristics:Количество USB 3.0;Weight;Length;Width;Height;date_created
541832243621;;;;iPhone 12;Apple iPhone 12, 128 ГБ, (PRODUCT)RED, Ростест;;;https://static.tildacdn.com/tild6339-3533-4635-a334-363061656363/iphone_12_red_0.jpeg;63990;123;;;;Fi1xf4trob9NSobJjaAZ;;iPhone 12;IOS 14;Алюминий;1;OLED, True Tone, сенсорный;6.1 дюйм;2532x1170;460;19.5:9;Двойная 12МП + 12МП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7;2022-06-28 09:13:56.266716
962321792861;;0103;;;Apple iPhone 12, 128 ГБ, (PRODUCT)RED, Ростест / Красный- Красный- 128- Ростест;;;;63990;123;;"Цвет:Красный;Объем памяти:128;Регион поставки:Ростест";;ootoIGkyR7dvJAXRgXES;541832243621;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;2022-06-28 09:13:56.266723
837511187131;;;;iPhone 12;Apple iPhone 12, 256 ГБ, (PRODUCT)RED, Ростест;;;https://static.tildacdn.com/tild6339-3533-4635-a334-363061656363/iphone_12_red_0.jpeg;0;123;;;;lZEtyfs336dpPE16ssSu;;iPhone 12;IOS 14;Алюминий;1;OLED, True Tone, сенсорный;6.1 дюйм;2532x1170;460;19.5:9;Двойная 12МП + 12МП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7;2022-06-28 09:13:56.266724
685133844151;;0109;;;Apple iPhone 12, 256 ГБ, (PRODUCT)RED, Ростест / Красный- Красный- 256- Ростест;;;;0;123;;"Цвет:Красный;Объем памяти:256;Регион поставки:Ростест";;j6uiXmZj58kYJIjOMbs0;837511187131;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;2022-06-28 09:13:56.266726
399616635921;;;;iPhone 12;Apple iPhone 12, 64 ГБ, (PRODUCT)RED, Америка;;;https://static.tildacdn.com/tild6339-3533-4635-a334-363061656363/iphone_12_red_0.jpeg;54990;123;;;;resGLYU0LBmmyYtTEiX1;;iPhone 12;IOS 14;Алюминий;1;OLED, True Tone, сенсорный;6.1 дюйм;2532x1170;460;19.5:9;Двойная 12МП + 12МП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7;2022-06-28 09:13:56.266729
394906109401;;0115;;;Apple iPhone 12, 64 ГБ, (PRODUCT)RED, Америка / Красный- Красный- 64- Америка;;;;54990;123;;"Цвет:Красный;Объем памяти:64;Регион поставки:Америка";;uR8RGMSx5hhbxjINa6bx;399616635921;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;2022-06-28 09:13:56.266731
322568675291;;;;iPhone 12;Apple iPhone 12, 128 ГБ, (PRODUCT)RED, Америка;;;https://static.tildacdn.com/tild6339-3533-4635-a334-363061656363/iphone_12_red_0.jpeg;0;123;;;;aLBNIviHj8o5XmjKgnVT;;iPhone 12;IOS 14;Алюминий;1;OLED, True Tone, сенсорный;6.1 дюйм;2532x1170;460;19.5:9;Двойная 12МП + 12МП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7;2022-06-28 09:13:56.266733
245547919401;;0121;;;Apple iPhone 12, 128 ГБ, (PRODUCT)RED, Америка / Красный- Красный- 128- Америка;;;;0;123;;"Цвет:Красный;Объем памяти:128;Регион поставки:Америка";;AikJ3n7okPai3t7uaXlc;322568675291;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;2022-06-28 09:13:56.266735
863138053831;;;;iPhone 12;Apple iPhone 12, 256 ГБ, (PRODUCT)RED, Америка;;;https://static.tildacdn.com/tild6339-3533-4635-a334-363061656363/iphone_12_red_0.jpeg;0;123;;;;XZICz9EEZeELkTKtlJFt;;iPhone 12;IOS 14;Алюминий;1;OLED, True Tone, сенсорный;6.1 дюйм;2532x1170;460;19.5:9;Двойная 12МП + 12МП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7;2022-06-28 09:13:56.266737
137494496801;;0127;;;Apple iPhone 12, 256 ГБ, (PRODUCT)RED, Америка / Красный- Красный- 256- Америка;;;;0;123;;"Цвет:Красный;Объем памяти:256;Регион поставки:Америка";;Hh3a1VH5JD4emvrXBDJD;863138053831;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;2022-06-28 09:13:56.266739
735983241571;;;;iPhone 12;Apple iPhone 12, 64 ГБ, Зеленый, Ростест;;;https://static.tildacdn.com/tild3162-3464-4936-b633-623362306336/iphone_12_green_0.jpeg;0;123;;;;HETyv1BJdAciKmiCjrfU;;iPhone 12;IOS 14;Алюминий;1;OLED, True Tone, сенсорный;6.1 дюйм;2532x1170;460;19.5:9;Двойная 12МП + 12МП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7;2022-06-28 09:13:56.266741
777070142971;;0098;;;Apple iPhone 12, 64 ГБ, Зеленый, Ростест- Зеленый- 64- Ростест;;;;0;123;;"Цвет:Зеленый;Объем памяти:64;Регион поставки:Ростест";;fSiI7HGICxGxDsIzdA3N;735983241571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;2022-06-28 09:13:56.266743
555885886951;;;;iPhone 12;Apple iPhone 12, 128 ГБ, Зеленый, Ростест;;;https://static.tildacdn.com/tild6439-3066-4534-b434-643561376237/iphone_12_green_0.jpeg;0;123;;;;uVMCJ2lxKdjXtHf37BS3;;iPhone 12;IOS 14;Алюминий;1;OLED, True Tone, сенсорный;6.1 дюйм;2532x1170;460;19.5:9;Двойная 12МП + 12МП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7;2022-06-28 09:13:56.266745
933287956951;;0104;;;Apple iPhone 12, 128 ГБ, Зеленый, Ростест- Зеленый- 128- Ростест;;;;0;123;;"Цвет:Зеленый;Объем памяти:128;Регион поставки:Ростест";;GR9ouKSaOJRtm6dDsyhM;555885886951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;2022-06-28 09:13:56.266748
